Row,Vaccine,Geography Type,Geography,Season,Personnel Type,Estimate (%),95% CI (%),Sample Size,,Check State,,
24,Seasonal Influenza,States,Minnesota,2013-14,All Health Care Personnel,75.3,,"142,962",,Michigan,28,23
25,Seasonal Influenza,States,Mississippi,2013-14,All Health Care Personnel,73.6,,"73,547",,Minnesota,28,24
26,Seasonal Influenza,States,Missouri,2013-14,All Health Care Personnel,88.4,,"182,619",,Mississippi,28,25
27,Seasonal Influenza,States,Montana,2013-14,All Health Care Personnel,83.8,,"23,312",,Missouri,28,26
28,Seasonal Influenza,States,Nebraska,2013-14,All Health Care Personnel,91.5,,"53,557",,Montana,28,27
29,Seasonal Influenza,States,Nevada,2013-14,All Health Care Personnel,75.8,,"46,605",,Nebraska,28,28
30,Seasonal Influenza,States,New Hampshire,2013-14,All Health Care Personnel,93.1,,"36,091",,Nevada,28,29
31,Seasonal Influenza,States,New Jersey,2013-14,All Health Care Personnel,62.4,,"213,566",,New Hampshire,28,30
32,Seasonal Influenza,States,New Mexico,2013-14,All Health Care Personnel,76.4,,"44,245",,New Jersey,28,31
33,Seasonal Influenza,States,New York,2013-14,All Health Care Personnel,83.3,,"572,906",,New Mexico,28,32
34,Seasonal Influenza,States,North Carolina,2013-14,All Health Care Personnel,92.4,,"235,656",,New York,28,33
35,Seasonal Influenza,States,North Dakota,2013-14,All Health Care Personnel,90.2,,"21,168",,North Carolina,28,34
36,Seasonal Influenza,States,Ohio,2013-14,All Health Care Personnel,82,,"366,299",,North Dakota,28,35
37,Seasonal Influenza,States,Oklahoma,2013-14,All Health Care Personnel,83.6,,"92,599",,Ohio,28,36
38,Seasonal Influenza,States,Oregon,2013-14,All Health Care Personnel,76.7,,"90,987",,Oklahoma,28,37
39,Seasonal Influenza,States,Pennsylvania,2013-14,All Health Care Personnel,82.1,,"439,021",,Oregon,28,38
40,Seasonal Influenza,National,United States,2013-14,All Health Care Personnel,81.8,,"8,006,643",,Pennsylvania,28,39
41,Seasonal Influenza,States,Rhode Island,2013-14,All Health Care Personnel,90.4,,"34,125",,Rhode Island,28,40
42,Seasonal Influenza,States,South Carolina,2013-14,All Health Care Personnel,82.1,,"121,741",,South Carolina,28,41
43,Seasonal Influenza,States,South Dakota,2013-14,All Health Care Personnel,93.5,,"28,451",,South Dakota,28,42
44,Seasonal Influenza,States,Tennessee,2013-14,All Health Care Personnel,81.9,,"173,582",,Tennessee,28,43
45,Seasonal Influenza,States,Texas,2013-14,All Health Care Personnel,83.4,,"526,240",,Texas,28,44
46,Seasonal Influenza,States,Utah,2013-14,All Health Care Personnel,94,,"59,018",,United States,28,45
47,Seasonal Influenza,States,Vermont,2013-14,All Health Care Personnel,74.7,,"16,956",,Utah,28,46
48,Seasonal Influenza,States,Virginia,2013-14,All Health Care Personnel,85.5,,"162,762",,Vermont,28,47
49,Seasonal Influenza,States,Washington,2013-14,All Health Care Personnel,87.6,,"152,747",,Virginia,28,48
50,Seasonal Influenza,States,West Virginia,2013-14,All Health Care Personnel,77.6,,"61,370",,Washington,28,49
51,Seasonal Influenza,States,Wisconsin,2013-14,All Health Care Personnel,90.7,,"187,004",,West Virginia,28,50
52,Seasonal Influenza,States,Wyoming,2013-14,All Health Care Personnel,82.5,,"12,377",,Wisconsin,28,51
53,Seasonal Influenza,States,Alabama,2014-15,All Health Care Personnel,77.6,,"116,878",,Wyoming,28,52
54,Seasonal Influenza,States,Alaska,2014-15,All Health Care Personnel,70.6,,"16,304",,Grand Total,1456,
55,Seasonal Influenza,States,Arizona,2014-15,All Health Care Personnel,82.8,,"141,623",,,,
56,Seasonal Influenza,States,Arkansas,2014-15,All Health Care Personnel,83.6,,"78,402",,,,
57,Seasonal Influenza,States,California,2014-15,All Health Care Personnel,82.1,,"808,945",,,,
58,Seasonal Influenza,States,Colorado,2014-15,All Health Care Personnel,97.1,,"144,521",,,,
59,Seasonal Influenza,States,Connecticut,2014-15,All Health Care Personnel,86.1,,"102,524",,,,
60,Seasonal Influenza,States,Delaware,2014-15,All Health Care Personnel,90.1,,"29,559",,,,
61,Seasonal Influenza,States,District of Columbia,2014-15,All Health Care Personnel,94,,"33,769",,,,
62,Seasonal Influenza,States,Florida,2014-15,All Health Care Personnel,71.4,,"490,726",,,,
63,Seasonal Influenza,States,Georgia,2014-15,All Health Care Personnel,86.3,,"223,653",,,,
64,Seasonal Influenza,States,Hawaii,2014-15,All Health Care Personnel,73.9,,"27,902",,,,
65,Seasonal Influenza,States,Idaho,2014-15,All Health Care Personnel,86.9,,"32,788",,,,
66,Seasonal Influenza,States,Illinois,2014-15,All Health Care Personnel,84.1,,"346,741",,,,
67,Seasonal Influenza,States,Indiana,2014-15,All Health Care Personnel,87.4,,"189,520",,,,
68,Seasonal Influenza,States,Iowa,2014-15,All Health Care Personnel,92.2,,"99,855",,,,
69,Seasonal Influenza,States,Kansas,2014-15,All Health Care Personnel,93.1,,"73,422",,,,
70,Seasonal Influenza,States,Kentucky,2014-15,All Health Care Personnel,78.9,,"112,751",,,,
71,Seasonal Influenza,States,Louisiana,2014-15,All Health Care Personnel,77.7,,"134,265",,,,
72,Seasonal Influenza,States,Maine,2014-15,All Health Care Personnel,85.3,,"40,853",,,,
73,Seasonal Influenza,States,Maryland,2014-15,All Health Care Personnel,96.9,,"154,962",,,,
74,Seasonal Influenza,States,Massachusetts,2014-15,All Health Care Personnel,89.1,,"249,525",,,,
75,Seasonal Influenza,States,Michigan,2014-15,All Health Care Personnel,83.6,,"286,149",,,,
76,Seasonal Influenza,States,Minnesota,2014-15,All Health Care Personnel,78,,"139,564",,,,
77,Seasonal Influenza,States,Mississippi,2014-15,All Health Care Personnel,82.2,,"74,255",,,,
78,Seasonal Influenza,States,Missouri,2014-15,All Health Care Personnel,91.6,,"188,272",,,,
79,Seasonal Influenza,States,Montana,2014-15,All Health Care Personnel,84.2,,"23,724",,,,
80,Seasonal Influenza,States,Nebraska,2014-15,All Health Care Personnel,91.5,,"53,712",,,,
81,Seasonal Influenza,States,Nevada,2014-15,All Health Care Personnel,71.5,,"54,373",,,,
82,Seasonal Influenza,States,New Hampshire,2014-15,All Health Care Personnel,94.1,,"41,487",,,,
83,Seasonal Influenza,States,New Jersey,2014-15,All Health Care Personnel,68.7,,"207,639",,,,
84,Seasonal Influenza,States,New Mexico,2014-15,All Health Care Personnel,81.5,,"44,938",,,,
85,Seasonal Influenza,States,New York,2014-15,All Health Care Personnel,83.9,,"554,651",,,,
86,Seasonal Influenza,States,North Carolina,2014-15,All Health Care Personnel,94.3,,"236,108",,,,
87,Seasonal Influenza,States,North Dakota,2014-15,All Health Care Personnel,89.6,,"23,851",,,,
88,Seasonal Influenza,States,Ohio,2014-15,All Health Care Personnel,85,,"360,577",,,,
89,Seasonal Influenza,States,Oklahoma,2014-15,All Health Care Personnel,88.4,,"95,254",,,,
90,Seasonal Influenza,States,Oregon,2014-15,All Health Care Personnel,78.9,,"90,082",,,,
91,Seasonal Influenza,States,Pennsylvania,2014-15,All Health Care Personnel,87,,"402,309",,,,
92,Seasonal Influenza,National,United States,2014-15,All Health Care Personnel,84.5,,"8,078,194",,,,
93,Seasonal Influenza,States,Rhode Island,2014-15,All Health Care Personnel,91.8,,"34,102",,,,
94,Seasonal Influenza,States,South Carolina,2014-15,All Health Care Personnel,84.4,,"119,171",,,,
95,Seasonal Influenza,States,South Dakota,2014-15,All Health Care Personnel,94.3,,"27,426",,,,
96,Seasonal Influenza,States,Tennessee,2014-15,All Health Care Personnel,84.8,,"175,518",,,,
97,Seasonal Influenza,States,Texas,2014-15,All Health Care Personnel,85.7,,"518,343",,,,
98,Seasonal Influenza,States,Utah,2014-15,All Health Care Personnel,94.2,,"66,808",,,,
99,Seasonal Influenza,States,Vermont,2014-15,All Health Care Personnel,74.9,,"17,154",,,,
100,Seasonal Influenza,States,Virginia,2014-15,All Health Care Personnel,87.3,,"165,630",,,,
101,Seasonal Influenza,States,Washington,2014-15,All Health Care Personnel,87.1,,"162,789",,,,
102,Seasonal Influenza,States,West Virginia,2014-15,All Health Care Personnel,80.4,,"61,634",,,,
103,Seasonal Influenza,States,Wisconsin,2014-15,All Health Care Personnel,93.8,,"190,231",,,,
104,Seasonal Influenza,States,Wyoming,2014-15,All Health Care Personnel,85,,"12,955",,,,
105,Seasonal Influenza,States,Alabama,2015-16,All Health Care Personnel,77.4,,"114,751",,,,
106,Seasonal Influenza,States,Alaska,2015-16,All Health Care Personnel,62.5,,"16,541",,,,
107,Seasonal Influenza,States,Arizona,2015-16,All Health Care Personnel,86.9,,"141,354",,,,
108,Seasonal Influenza,States,Arkansas,2015-16,All Health Care Personnel,85.2,,"80,017",,,,
109,Seasonal Influenza,States,California,2015-16,All Health Care Personnel,82.6,,"839,081",,,,
110,Seasonal Influenza,States,Colorado,2015-16,All Health Care Personnel,97.3,,"133,037",,,,
111,Seasonal Influenza,States,Connecticut,2015-16,All Health Care Personnel,88,,"94,549",,,,
112,Seasonal Influenza,States,Delaware,2015-16,All Health Care Personnel,92,,"31,587",,,,
113,Seasonal Influenza,States,District of Columbia,2015-16,All Health Care Personnel,95.5,,"33,140",,,,
114,Seasonal Influenza,States,Florida,2015-16,All Health Care Personnel,77.1,,"483,356",,,,
115,Seasonal Influenza,States,Georgia,2015-16,All Health Care Personnel,88.1,,"215,133",,,,
116,Seasonal Influenza,States,Hawaii,2015-16,All Health Care Personnel,77.4,,"27,780",,,,
117,Seasonal Influenza,States,Idaho,2015-16,All Health Care Personnel,89.8,,"40,685",,,,
118,Seasonal Influenza,States,Illinois,2015-16,All Health Care Personnel,86.6,,"353,759",,,,
119,Seasonal Influenza,States,Indiana,2015-16,All Health Care Personnel,89.3,,"198,893",,,,
120,Seasonal Influenza,States,Iowa,2015-16,All Health Care Personnel,91.8,,"109,314",,,,
121,Seasonal Influenza,States,Kansas,2015-16,All Health Care Personnel,94.6,,"77,599",,,,
122,Seasonal Influenza,States,Kentucky,2015-16,All Health Care Personnel,84.8,,"124,051",,,,
123,Seasonal Influenza,States,Louisiana,2015-16,All Health Care Personnel,82.5,,"132,394",,,,
124,Seasonal Influenza,States,Maine,2015-16,All Health Care Personnel,84.3,,"44,054",,,,
125,Seasonal Influenza,States,Maryland,2015-16,All Health Care Personnel,96.4,,"135,703",,,,
126,Seasonal Influenza,States,Massachusetts,2015-16,All Health Care Personnel,90.7,,"255,534",,,,
127,Seasonal Influenza,States,Michigan,2015-16,All Health Care Personnel,88.4,,"294,968",,,,
128,Seasonal Influenza,States,Minnesota,2015-16,All Health Care Personnel,79.4,,"163,335",,,,
129,Seasonal Influenza,States,Mississippi,2015-16,All Health Care Personnel,81.1,,"82,503",,,,
130,Seasonal Influenza,States,Missouri,2015-16,All Health Care Personnel,91.3,,"201,749",,,,
131,Seasonal Influenza,States,Montana,2015-16,All Health Care Personnel,83.2,,"29,362",,,,
132,Seasonal Influenza,States,Nebraska,2015-16,All Health Care Personnel,93,,"57,913",,,,
133,Seasonal Influenza,States,Nevada,2015-16,All Health Care Personnel,77.5,,"50,806",,,,
134,Seasonal Influenza,States,New Hampshire,2015-16,All Health Care Personnel,93.8,,"43,777",,,,
135,Seasonal Influenza,States,New Jersey,2015-16,All Health Care Personnel,81.3,,"209,737",,,,
136,Seasonal Influenza,States,New Mexico,2015-16,All Health Care Personnel,84.5,,"46,017",,,,
137,Seasonal Influenza,States,New York,2015-16,All Health Care Personnel,83.3,,"587,234",,,,
138,Seasonal Influenza,States,North Carolina,2015-16,All Health Care Personnel,95.1,,"246,464",,,,
139,Seasonal Influenza,States,North Dakota,2015-16,All Health Care Personnel,90.1,,"32,093",,,,
140,Seasonal Influenza,States,Ohio,2015-16,All Health Care Personnel,83.1,,"385,888",,,,
141,Seasonal Influenza,States,Oklahoma,2015-16,All Health Care Personnel,88.7,,"94,746",,,,
142,Seasonal Influenza,States,Oregon,2015-16,All Health Care Personnel,78.4,,"92,826",,,,
143,Seasonal Influenza,States,Pennsylvania,2015-16,All Health Care Personnel,90.3,,"389,508",,,,
144,Seasonal Influenza,National,United States,2015-16,All Health Care Personnel,86.4,,"8,308,551",,,,
145,Seasonal Influenza,States,Rhode Island,2015-16,All Health Care Personnel,92.5,,"35,426",,,,
146,Seasonal Influenza,States,South Carolina,2015-16,All Health Care Personnel,88.8,,"120,914",,,,
147,Seasonal Influenza,States,South Dakota,2015-16,All Health Care Personnel,94.8,,"32,898",,,,
148,Seasonal Influenza,States,Tennessee,2015-16,All Health Care Personnel,87.8,,"189,286",,,,
149,Seasonal Influenza,States,Texas,2015-16,All Health Care Personnel,86.8,,"537,120",,,,
150,Seasonal Influenza,States,Utah,2015-16,All Health Care Personnel,96.2,,"67,085",,,,
151,Seasonal Influenza,States,Vermont,2015-16,All Health Care Personnel,77,,"20,647",,,,
152,Seasonal Influenza,States,Virginia,2015-16,All Health Care Personnel,86.4,,"165,678",,,,
153,Seasonal Influenza,States,Washington,2015-16,All Health Care Personnel,88.9,,"174,830",,,,
154,Seasonal Influenza,States,West Virginia,2015-16,All Health Care Personnel,86.5,,"65,064",,,,
155,Seasonal Influenza,States,Wisconsin,2015-16,All Health Care Personnel,94.4,,"194,382",,,,
156,Seasonal Influenza,States,Wyoming,2015-16,All Health Care Personnel,88.5,,"13,983",,,,
157,Seasonal Influenza,States,Alabama,2016-17,All Health Care Personnel,80.2,,"124,944",,,,
158,Seasonal Influenza,States,Alaska,2016-17,All Health Care Personnel,75.2,,"19,315",,,,
159,Seasonal Influenza,States,Arizona,2016-17,All Health Care Personnel,88.9,,"147,947",,,,
160,Seasonal Influenza,States,Arkansas,2016-17,All Health Care Personnel,84.6,,"85,999",,,,
161,Seasonal Influenza,States,California,2016-17,All Health Care Personnel,83.9,,"857,286",,,,
162,Seasonal Influenza,States,Colorado,2016-17,All Health Care Personnel,97.1,,"121,300",,,,
163,Seasonal Influenza,States,Connecticut,2016-17,All Health Care Personnel,89.7,,"94,093",,,,
164,Seasonal Influenza,States,Delaware,2016-17,All Health Care Personnel,91.4,,"30,527",,,,
165,Seasonal Influenza,States,District of Columbia,2016-17,All Health Care Personnel,97.2,,"32,100",,,,
166,Seasonal Influenza,States,Florida,2016-17,All Health Care Personnel,77.5,,"521,486",,,,
167,Seasonal Influenza,States,Georgia,2016-17,All Health Care Personnel,89.8,,"223,599",,,,
168,Seasonal Influenza,States,Hawaii,2016-17,All Health Care Personnel,83,,"24,591",,,,
169,Seasonal Influenza,States,Idaho,2016-17,All Health Care Personnel,92,,"43,044",,,,
170,Seasonal Influenza,States,Illinois,2016-17,All Health Care Personnel,87.3,,"370,262",,,,
171,Seasonal Influenza,States,Indiana,2016-17,All Health Care Personnel,90.1,,"210,981",,,,
172,Seasonal Influenza,States,Iowa,2016-17,All Health Care Personnel,93.5,,"108,229",,,,
173,Seasonal Influenza,States,Kansas,2016-17,All Health Care Personnel,93.2,,"88,760",,,,
174,Seasonal Influenza,States,Kentucky,2016-17,All Health Care Personnel,83.1,,"121,934",,,,
175,Seasonal Influenza,States,Louisiana,2016-17,All Health Care Personnel,86.3,,"131,026",,,,
176,Seasonal Influenza,States,Maine,2016-17,All Health Care Personnel,88,,"47,035",,,,
177,Seasonal Influenza,States,Maryland,2016-17,All Health Care Personnel,96.9,,"106,163",,,,
178,Seasonal Influenza,States,Massachusetts,2016-17,All Health Care Personnel,92.2,,"261,409",,,,
179,Seasonal Influenza,States,Michigan,2016-17,All Health Care Personnel,90.5,,"304,991",,,,
180,Seasonal Influenza,States,Minnesota,2016-17,All Health Care Personnel,81.4,,"165,422",,,,
181,Seasonal Influenza,States,Mississippi,2016-17,All Health Care Personnel,83,,"83,434",,,,
182,Seasonal Influenza,States,Missouri,2016-17,All Health Care Personnel,93.3,,"205,772",,,,
183,Seasonal Influenza,States,Montana,2016-17,All Health Care Personnel,87.1,,"32,147",,,,
184,Seasonal Influenza,States,Nebraska,2016-17,All Health Care Personnel,91.7,,"66,649",,,,
185,Seasonal Influenza,States,Nevada,2016-17,All Health Care Personnel,79,,"53,961",,,,
186,Seasonal Influenza,States,New Hampshire,2016-17,All Health Care Personnel,94.8,,"48,901",,,,
187,Seasonal Influenza,States,New Jersey,2016-17,All Health Care Personnel,83.5,,"219,623",,,,
188,Seasonal Influenza,States,New Mexico,2016-17,All Health Care Personnel,86.2,,"45,732",,,,
189,Seasonal Influenza,States,New York,2016-17,All Health Care Personnel,85.9,,"566,694",,,,
190,Seasonal Influenza,States,North Carolina,2016-17,All Health Care Personnel,94.8,,"254,347",,,,
191,Seasonal Influenza,States,North Dakota,2016-17,All Health Care Personnel,90.9,,"33,634",,,,
192,Seasonal Influenza,States,Ohio,2016-17,All Health Care Personnel,86.9,,"376,959",,,,
193,Seasonal Influenza,States,Oklahoma,2016-17,All Health Care Personnel,88.7,,"98,345",,,,
194,Seasonal Influenza,States,Oregon,2016-17,All Health Care Personnel,81.2,,"101,856",,,,
195,Seasonal Influenza,States,Pennsylvania,2016-17,All Health Care Personnel,90.8,,"400,335",,,,
196,Seasonal Influenza,National,United States,2016-17,All Health Care Personnel,87.6,,"8,482,719",,,,
197,Seasonal Influenza,States,Rhode Island,2016-17,All Health Care Personnel,93,,"34,941",,,,
198,Seasonal Influenza,States,South Carolina,2016-17,All Health Care Personnel,88.1,,"123,565",,,,
199,Seasonal Influenza,States,South Dakota,2016-17,All Health Care Personnel,96.4,,"31,533",,,,
200,Seasonal Influenza,States,Tennessee,2016-17,All Health Care Personnel,89.3,,"183,965",,,,
201,Seasonal Influenza,States,Texas,2016-17,All Health Care Personnel,87.3,,"562,687",,,,
202,Seasonal Influenza,States,Utah,2016-17,All Health Care Personnel,95.8,,"69,474",,,,
203,Seasonal Influenza,States,Vermont,2016-17,All Health Care Personnel,78.7,,"20,495",,,,
204,Seasonal Influenza,States,Virginia,2016-17,All Health Care Personnel,88.5,,"174,267",,,,
205,Seasonal Influenza,States,Washington,2016-17,All Health Care Personnel,89.8,,"180,453",,,,
206,Seasonal Influenza,States,West Virginia,2016-17,All Health Care Personnel,90.8,,"61,571",,,,
207,Seasonal Influenza,States,Wisconsin,2016-17,All Health Care Personnel,93.9,,"194,110",,,,
208,Seasonal Influenza,States,Wyoming,2016-17,All Health Care Personnel,90.2,,"14,826",,,,
209,Seasonal Influenza,States,Alabama,2017-18,All Health Care Personnel,86.1,,"127,561",,,,
210,Seasonal Influenza,States,Alaska,2017-18,All Health Care Personnel,73.8,,"22,283",,,,
211,Seasonal Influenza,States,Arizona,2017-18,All Health Care Personnel,88.9,,"143,017",,,,
212,Seasonal Influenza,States,Arkansas,2017-18,All Health Care Personnel,86.6,,"86,869",,,,
213,Seasonal Influenza,States,California,2017-18,All Health Care Personnel,84.7,,"870,350",,,,
214,Seasonal Influenza,States,Colorado,2017-18,All Health Care Personnel,97.6,,"123,004",,,,
215,Seasonal Influenza,States,Connecticut,2017-18,All Health Care Personnel,93.5,,"95,149",,,,
216,Seasonal Influenza,States,Delaware,2017-18,All Health Care Personnel,91.5,,"35,051",,,,
217,Seasonal Influenza,States,District of Columbia,2017-18,All Health Care Personnel,96.7,,"25,656",,,,
218,Seasonal Influenza,States,Florida,2017-18,All Health Care Personnel,79.6,,"532,626",,,,
219,Seasonal Influenza,States,Georgia,2017-18,All Health Care Personnel,90.6,,"229,155",,,,
220,Seasonal Influenza,States,Hawaii,2017-18,All Health Care Personnel,83.7,,"28,619",,,,
221,Seasonal Influenza,States,Idaho,2017-18,All Health Care Personnel,91.8,,"46,153",,,,
222,Seasonal Influenza,States,Illinois,2017-18,All Health Care Personnel,90.9,,"359,012",,,,
223,Seasonal Influenza,States,Indiana,2017-18,All Health Care Personnel,89.7,,"219,842",,,,
224,Seasonal Influenza,States,Iowa,2017-18,All Health Care Personnel,94,,"104,935",,,,
225,Seasonal Influenza,States,Kansas,2017-18,All Health Care Personnel,93.5,,"90,253",,,,
226,Seasonal Influenza,States,Kentucky,2017-18,All Health Care Personnel,90.2,,"129,230",,,,
227,Seasonal Influenza,States,Louisiana,2017-18,All Health Care Personnel,87,,"130,280",,,,
228,Seasonal Influenza,States,Maine,2017-18,All Health Care Personnel,88.8,,"46,486",,,,
229,Seasonal Influenza,States,Maryland,2017-18,All Health Care Personnel,96.4,,"130,606",,,,
230,Seasonal Influenza,States,Massachusetts,2017-18,All Health Care Personnel,92.7,,"263,169",,,,
231,Seasonal Influenza,States,Michigan,2017-18,All Health Care Personnel,90.6,,"295,495",,,,
232,Seasonal Influenza,States,Minnesota,2017-18,All Health Care Personnel,84.4,,"167,863",,,,
233,Seasonal Influenza,States,Mississippi,2017-18,All Health Care Personnel,83.2,,"82,863",,,,
234,Seasonal Influenza,States,Missouri,2017-18,All Health Care Personnel,92.6,,"209,125",,,,
235,Seasonal Influenza,States,Montana,2017-18,All Health Care Personnel,89,,"34,817",,,,
236,Seasonal Influenza,States,Nebraska,2017-18,All Health Care Personnel,88.1,,"63,117",,,,
237,Seasonal Influenza,States,Nevada,2017-18,All Health Care Personnel,77.5,,"58,378",,,,
238,Seasonal Influenza,States,New Hampshire,2017-18,All Health Care Personnel,94.3,,"45,727",,,,
239,Seasonal Influenza,States,New Jersey,2017-18,All Health Care Personnel,86.8,,"225,257",,,,
240,Seasonal Influenza,States,New Mexico,2017-18,All Health Care Personnel,86.3,,"46,864",,,,
241,Seasonal Influenza,States,New York,2017-18,All Health Care Personnel,85.8,,"614,569",,,,
242,Seasonal Influenza,States,North Carolina,2017-18,All Health Care Personnel,94.8,,"265,937",,,,
243,Seasonal Influenza,States,North Dakota,2017-18,All Health Care Personnel,92.5,,"33,627",,,,
244,Seasonal Influenza,States,Ohio,2017-18,All Health Care Personnel,85.1,,"375,497",,,,
245,Seasonal Influenza,States,Oklahoma,2017-18,All Health Care Personnel,92.4,,"100,354",,,,
246,Seasonal Influenza,States,Oregon,2017-18,All Health Care Personnel,82.9,,"100,827",,,,
247,Seasonal Influenza,States,Pennsylvania,2017-18,All Health Care Personnel,92.3,,"405,775",,,,
248,Seasonal Influenza,National,United States,2017-18,All Health Care Personnel,88.7,,"8,659,014",,,,
249,Seasonal Influenza,States,Rhode Island,2017-18,All Health Care Personnel,92.8,,"35,043",,,,
250,Seasonal Influenza,States,South Carolina,2017-18,All Health Care Personnel,91,,"123,026",,,,
251,Seasonal Influenza,States,South Dakota,2017-18,All Health Care Personnel,95.8,,"32,948",,,,
252,Seasonal Influenza,States,Tennessee,2017-18,All Health Care Personnel,90.4,,"187,909",,,,
253,Seasonal Influenza,States,Texas,2017-18,All Health Care Personnel,88.9,,"582,818",,,,
254,Seasonal Influenza,States,Utah,2017-18,All Health Care Personnel,95.8,,"71,607",,,,
255,Seasonal Influenza,States,Vermont,2017-18,All Health Care Personnel,78.9,,"22,374",,,,
256,Seasonal Influenza,States,Virginia,2017-18,All Health Care Personnel,89.3,,"175,615",,,,
257,Seasonal Influenza,States,Washington,2017-18,All Health Care Personnel,90.9,,"182,565",,,,
258,Seasonal Influenza,States,West Virginia,2017-18,All Health Care Personnel,90.7,,"64,851",,,,
259,Seasonal Influenza,States,Wisconsin,2017-18,All Health Care Personnel,95.1,,"200,077",,,,
260,Seasonal Influenza,States,Wyoming,2017-18,All Health Care Personnel,92.1,,"14,783",,,,
261,Seasonal Influenza,States,Alabama,2018-19,All Health Care Personnel,88.4,,"130,954",,,,
262,Seasonal Influenza,States,Alaska,2018-19,All Health Care Personnel,82.3,,"24,315",,,,
263,Seasonal Influenza,States,Arizona,2018-19,All Health Care Personnel,92,,"134,496",,,,
264,Seasonal Influenza,States,Arkansas,2018-19,All Health Care Personnel,89.9,,"92,013",,,,
265,Seasonal Influenza,States,California,2018-19,All Health Care Personnel,85.6,,"884,990",,,,
266,Seasonal Influenza,States,Colorado,2018-19,All Health Care Personnel,96.8,,"135,770",,,,
267,Seasonal Influenza,States,Connecticut,2018-19,All Health Care Personnel,92.5,,"94,416",,,,
268,Seasonal Influenza,States,Delaware,2018-19,All Health Care Personnel,94.2,,"36,672",,,,
269,Seasonal Influenza,States,District of Columbia,2018-19,All Health Care Personnel,97.5,,"23,924",,,,
270,Seasonal Influenza,States,Florida,2018-19,All Health Care Personnel,81.5,,"538,827",,,,
271,Seasonal Influenza,States,Georgia,2018-19,All Health Care Personnel,89.8,,"235,680",,,,
272,Seasonal Influenza,States,Hawaii,2018-19,All Health Care Personnel,83.7,,"25,514",,,,
273,Seasonal Influenza,States,Idaho,2018-19,All Health Care Personnel,95.1,,"45,371",,,,
274,Seasonal Influenza,States,Illinois,2018-19,All Health Care Personnel,92.9,,"355,293",,,,
275,Seasonal Influenza,States,Indiana,2018-19,All Health Care Personnel,91.7,,"227,808",,,,
276,Seasonal Influenza,States,Iowa,2018-19,All Health Care Personnel,95.3,,"103,054",,,,
277,Seasonal Influenza,States,Kansas,2018-19,All Health Care Personnel,95.2,,"90,488",,,,
278,Seasonal Influenza,States,Kentucky,2018-19,All Health Care Personnel,92.2,,"130,945",,,,
279,Seasonal Influenza,States,Louisiana,2018-19,All Health Care Personnel,88.7,,"132,984",,,,
280,Seasonal Influenza,States,Maine,2018-19,All Health Care Personnel,90.3,,"46,548",,,,
